Licences:
Apache-2.0
BSD-3-Clause
MIT
MPL-2.0
Unknown

Packages:
github.com/apapsch/go-jsonmerge/v2; MIT
github.com/fsnotify/fsnotify; BSD-3-Clause
github.com/go-viper/mapstructure/v2; MIT
github.com/golang/go; BSD-3-Clause
github.com/google/go-containerregistry; Apache-2.0
github.com/google/uuid; BSD-3-Clause
github.com/hashicorp/go-cleanhttp; MPL-2.0
github.com/hashicorp/go-retryablehttp; MPL-2.0
github.com/knadh/koanf/maps; MIT
github.com/knadh/koanf/parsers/yaml; MIT
github.com/knadh/koanf/providers/env/v2; MIT
github.com/knadh/koanf/providers/file; MIT
github.com/knadh/koanf/v2; MIT
github.com/mitchellh/copystructure; MIT
github.com/mitchellh/reflectwalk; MIT
github.com/oapi-codegen/runtime; Apache-2.0
github.com/opencontainers/go-digest; Apache-2.0
github.com/ovh/okms-sdk-go; Apache-2.0
github.com/secure-systems-lab/go-securesystemslib; MIT
github.com/sigstore/protobuf-specs; Apache-2.0
github.com/sigstore/sigstore; Apache-2.0
go.yaml.in/yaml/v3; Apache-2.0
golang.org/x/crypto; BSD-3-Clause
golang.org/x/sys; BSD-3-Clause
golang.org/x/term; BSD-3-Clause
google.golang.org/genproto/googleapis/api; Apache-2.0
google.golang.org/protobuf; BSD-3-Clause
sigstore-kms-ovhcloud/cmd/sigstore-kms-ovhcloud; Unknown. See go/sigstore-kms-ovhcloud/cmd/sigstore-kms-ovhcloud/LICENSE file
sigstore-kms-ovhcloud; Unknown. See go/sigstore-kms-ovhcloud/LICENSE file
